rank	id	category	decision	repository	owner	problem_solved	duplication_guard	benchmark	acceptance	rollback
51	deepeval	AI_EVAL_SECURITY	DEFER_MEASURED_GAP	confident-ai/deepeval	dealix-engineer	Agent and LLM regression evaluation with task, tool, plan and safety metrics.	Current manifest already defers Ragas/DeepEval/Phoenix alternatives behind Promptfoo; only reopen for a metric Promptfoo cannot express.	Run 20 canonical Dealix agent cases offline only after a named evaluation gap is documented.	Admit only if it catches a reproducible authority/tool regression current Promptfoo/native gates miss.	Remove isolated env and keep eval fixtures/receipts only.
52	ragas	AI_EVAL_SECURITY	DEFER_MEASURED_GAP	explodinggradients/ragas	dealix-engineer	RAG retrieval/generation quality evaluation for Company Brain and document workflows.	Current manifest already defers Ragas/DeepEval/Phoenix alternatives; Promptfoo/native verifiers remain first-line.	Evaluate one bounded tender/document retrieval dataset only after a retrieval metric gap is proven.	Adds decision-useful retrieval metrics unavailable from the canonical evaluation path.	Remove env and preserve benchmark report.
53	garak	AI_EVAL_SECURITY	PILOT_ISOLATED	NVIDIA/garak	dealix-engineer	LLM vulnerability scanning for injection, leakage, jailbreak and unsafe behavior.	Security evidence only; never become a runtime guard or authority layer.	Probe local/test Dealix model endpoints with a safe curated subset.	Finds reproducible model/app weaknesses with no customer or production target scanning.	Delete isolated env and generated probe artifacts after receipt capture.
54	pyrit	AI_EVAL_SECURITY	PILOT_ISOLATED	microsoft/PyRIT	dealix-engineer	Structured generative-AI red-team orchestration and attack strategy testing.	Compare with garak; do not admit both unless each catches unique Dealix failures.	Run a small prompt-injection and data-leak test matrix on test-only endpoints.	Unique findings justify maintenance cost and all tests remain non-production.	Remove env/config and retain sanitized evidence.
55	giskard	AI_EVAL_SECURITY	PILOT_ISOLATED	Giskard-AI/giskard	dealix-engineer	Automated performance, bias, robustness and LLM security testing.	No second dashboard or persistent truth store; library mode only.	Scan one diagnostic/RAG workflow in a local fixture environment.	Produces actionable issues not already covered by Promptfoo/garak/native gates.	Uninstall isolated package and keep report.
56	llm_guard	AI_EVAL_SECURITY	PILOT_ISOLATED	protectai/llm-guard	dealix-engineer	Input/output scanners for prompt injection, PII and unsafe LLM content.	Must not replace canonical policy/consent/authority checks and archived-upstream license gate overrides this row.	Measure false-positive/false-negative rate on sanitized Dealix prompts only if upstream posture is acceptable.	Useful only if latency and precision meet bounded thresholds and license/maintenance gate passes.	Disable scanner adapter and remove package.
57	evidently	AI_EVAL_SECURITY	PILOT_ISOLATED	evidentlyai/evidently	dealix-engineer	Quality/drift evaluation for model and structured decision outputs.	No new business observability database; offline reports only initially.	Measure drift on one versioned scoring dataset.	Detects meaningful regression not captured by current tests.	Remove isolated env and retain static report.
58	openlit	AI_EVAL_SECURITY	DEFER_MEASURED_GAP	openlit/openlit	dealix-engineer	LLM/agent tracing and observability.	Existing OpenTelemetry/Sentry/PostHog/Phoenix lanes already cover most needs.	Only benchmark if an unobservable agent span remains after current OTel work.	Admit only for a proven visibility gap with lower complexity than extending OTel.	Do not deploy service; discard pilot.
59	nemo_guardrails	AI_EVAL_SECURITY	DEFER_MEASURED_GAP	NVIDIA/NeMo-Guardrails	dealix-engineer	Programmable conversational guardrails and safety rails.	Do not create a parallel policy engine; Dealix authority remains canonical.	Only test when a runtime dialogue-safety gap survives deterministic policy checks.	Admit only if it reduces a measured risk without weakening authority semantics.	Remove runtime integration and config.
60	guardrails_ai	AI_EVAL_SECURITY	DEFER_MEASURED_GAP	guardrails-ai/guardrails	dealix-engineer	Structured output validation and validators around LLM calls.	Pydantic/schema checks and existing structured-output paths have priority.	Benchmark on one schema-fragile workflow.	Admit only if it reduces malformed outputs beyond existing validation.	Remove adapter and package.
