company,sector,city,website,public_contact,email,phone,linkedin,source_url,pain_hypothesis,offer_angle,confidence,verification_status,last_contacted_at,status,notes
Al-Rushaid Technologies,technology_smart_cities,Riyadh,,,,,,https://exhibitors.smartcitiessaudiexpo.com/smart-cities-saudi-expo-2026/Exhibitor,Current Smart Cities Saudi exhibitor; possible need to convert event visibility and technical capability into governed Saudi B2B opportunity follow-up and evidence workflows.,Free Execution Diagnostic / Saudi Market Access research,0.70,verified_public,,research_only,"2026 exhibitor, Stand 4B21 Hall 4. Public event presence != relationship != consent != buyer intent. No outbound authority."
Green Technology Company,technology_smart_cities,Riyadh,,,,,,https://exhibitors.smartcitiessaudiexpo.com/smart-cities-saudi-expo-2026/Exhibitor,Current Smart Cities Saudi exhibitor; potential operational/revenue systems fit should be researched from first-party company evidence before qualification.,Free Execution Diagnostic / Revenue Command research,0.70,verified_public,,research_only,"2026 exhibitor, Stand 4C31 Hall 4. Public event presence != relationship != consent != buyer intent. No outbound authority."
Thrustboring Construction Company Ltd.,construction_infrastructure,Riyadh,,,,,,https://exhibitors.smartcitiessaudiexpo.com/smart-cities-saudi-expo-2026/Exhibitor,Current infrastructure exhibitor; possible project/commercial coordination and evidence-flow pain requires first-party validation before any offer matching.,Free Execution Diagnostic / Project Command research,0.70,verified_public,,research_only,"2026 exhibitor, Stand 1 B111 Hall 1. Public event presence != relationship != consent != buyer intent. No outbound authority."
Xceltra,technology_energy_efficiency,Riyadh,,,,,,https://exhibitors.smartcitiessaudiexpo.com/smart-cities-saudi-expo-2026/Exhibitor,Current Smart Cities Saudi exhibitor with organizer-reported strategic project activity; fit for governed commercial/proof operations requires first-party verification.,Free Execution Diagnostic / Strategic Opportunity research,0.70,verified_public,,research_only,"2026 exhibitor, Stand 4B01 Hall 4. Organizer reports a power-efficiency partnership; do not treat as Dealix relationship or customer intent. No outbound authority."
A One Fence Arabia Company For Industry,construction_infrastructure,,,,,,,https://exhibitors.globalinfrastructureexpo.com/global-infrastructure-expo/Exhibitor,"Current Global Infrastructure Expo exhibitor; potential project, procurement, delivery, approval, or evidence-flow pain requires first-party company research before qualification.",Free Execution Diagnostic / Infrastructure Operations research,0.65,verified_public,,research_only,"Global Infrastructure Expo 2026 exhibitor, 2C79, Hall 2. Public event presence proves listing only; it does not prove relationship, consent, buyer intent, problem, opportunity, or revenue. No outbound authority."
AbdulAli Al-Ajmi co.,construction_infrastructure,,,,,,,https://exhibitors.globalinfrastructureexpo.com/global-infrastructure-expo/Exhibitor,"Current Global Infrastructure Expo exhibitor; potential project, procurement, delivery, approval, or evidence-flow pain requires first-party company research before qualification.",Free Execution Diagnostic / Infrastructure Operations research,0.65,verified_public,,research_only,"Global Infrastructure Expo 2026 exhibitor, 3B41, Hall 3. Public event presence proves listing only; it does not prove relationship, consent, buyer intent, problem, opportunity, or revenue. No outbound authority."
Abdullah Ahmed Albriki Trading,construction_infrastructure,,,,,,,https://exhibitors.globalinfrastructureexpo.com/global-infrastructure-expo/Exhibitor,"Current Global Infrastructure Expo exhibitor; potential project, procurement, delivery, approval, or evidence-flow pain requires first-party company research before qualification.",Free Execution Diagnostic / Infrastructure Operations research,0.65,verified_public,,research_only,"Global Infrastructure Expo 2026 exhibitor, 1A111, Hall 1. Public event presence proves listing only; it does not prove relationship, consent, buyer intent, problem, opportunity, or revenue. No outbound authority."
AIEcon Gulf engineering consultants,construction_infrastructure,,,,,,,https://exhibitors.globalinfrastructureexpo.com/global-infrastructure-expo/Exhibitor,"Current Global Infrastructure Expo exhibitor; potential project, procurement, delivery, approval, or evidence-flow pain requires first-party company research before qualification.",Free Execution Diagnostic / Infrastructure Operations research,0.65,verified_public,,research_only,"Global Infrastructure Expo 2026 exhibitor, 1A98, Hall 1. Public event presence proves listing only; it does not prove relationship, consent, buyer intent, problem, opportunity, or revenue. No outbound authority."
Al Andalus Engineering Co BIMEX for Industry,construction_infrastructure,,,,,,,https://exhibitors.globalinfrastructureexpo.com/global-infrastructure-expo/Exhibitor,"Current Global Infrastructure Expo exhibitor; potential project, procurement, delivery, approval, or evidence-flow pain requires first-party company research before qualification.",Free Execution Diagnostic / Infrastructure Operations research,0.65,verified_public,,research_only,"Global Infrastructure Expo 2026 exhibitor, 3C61, Hall 3. Public event presence proves listing only; it does not prove relationship, consent, buyer intent, problem, opportunity, or revenue. No outbound authority."
Al Enjaz Trading & Contracting Co.,construction_infrastructure,,,,,,,https://exhibitors.globalinfrastructureexpo.com/global-infrastructure-expo/Exhibitor,"Current Global Infrastructure Expo exhibitor; potential project, procurement, delivery, approval, or evidence-flow pain requires first-party company research before qualification.",Free Execution Diagnostic / Infrastructure Operations research,0.65,verified_public,,research_only,"Global Infrastructure Expo 2026 exhibitor, 3B51, Hall 3. Public event presence proves listing only; it does not prove relationship, consent, buyer intent, problem, opportunity, or revenue. No outbound authority."
