company,segment,website,decision_maker,pain,status,next_action,next_date,offer,last_touch,score
Digital Rise Agency,Marketing Agency,www.digitalrise.sa,Founder / CEO,Leads not converting,Researched,Send P1 intro,2026-05-31,Revenue Intelligence Sprint,,9
Growth Labs SA,Marketing Agency,www.growthlabs.sa,Managing Director,No follow-up system,Researched,Send P1 intro,2026-05-31,Revenue Intelligence Sprint,,9
TrainMe KSA,Training Company,www.trainme.sa,CEO,WhatsApp inquiries lost,Researched,Send P1 intro,2026-06-01,Revenue Intelligence Sprint,,8
SkillUp Arabia,Training Company,www.skilluparabia.com,Business Manager,Low registration rate,Researched,Send P1 intro,2026-06-01,Revenue Intelligence Sprint,,8
CloudShift Consulting,B2B Services,www.cloudshift.sa,Founder,Slow deal closure,Researched,Send P1 intro,2026-06-02,Revenue Intelligence Sprint,,7
Nexus IT Solutions,B2B Services,www.nexusit.sa,Sales Director,Weak CRM usage,Researched,Send P1 intro,2026-06-02,Revenue Intelligence Sprint,,7
MediaPulse Agency,Marketing Agency,www.mediapulse.sa,CEO,No proof for clients,Researched,Send P1 intro,2026-06-02,Revenue Intelligence Sprint,,8
Elevate Training,Training Company,www.elevate.sa,COO,Seasonal campaigns fail,Researched,Send P1 intro,2026-06-03,Revenue Intelligence Sprint,,7
LegalEdge SA,B2B Services,www.legaledge.sa,Managing Partner,Proposals not tracked,Researched,Send P1 intro,2026-06-03,Revenue Intelligence Sprint,,6
TechVenture Partners,B2B Services,www.techventure.sa,Founder,Founder blind to pipeline,Researched,Send P1 intro,2026-06-03,Revenue Intelligence Sprint,,7
Saudi Marketing Pro,Marketing Agency,www.saudimpro.sa,CEO,Client churn due to no ROI proof,Researched,Send P1 intro,2026-06-04,Revenue Intelligence Sprint,,8
LearnFast Academy,Training Company,www.learnfast.sa,Head of Sales,Follow-up takes too long,Researched,Send P1 intro,2026-06-04,Revenue Intelligence Sprint,,7
Alpha Consulting Group,B2B Services,www.alphacg.sa,Partner,Deals stuck in proposal stage,Researched,Send P1 intro,2026-06-04,Revenue Intelligence Sprint,,6
BrandCraft Agency,Marketing Agency,www.brandcraft.sa,Founder,Leads from ads not followed up,Researched,Send P1 intro,2026-06-05,Revenue Intelligence Sprint,,9
NextGen Training,Training Company,www.nextgen.sa,CEO,Inquiry to enrollment gap,Researched,Send P1 intro,2026-06-05,Revenue Intelligence Sprint,,7
