table,item,area,priority,status,autonomy_level,next_step
Strategy Backlog,Production Trust Spine,Production Trust,P0,Todo,L4 Repo Execute,Verify Railway CI smoke and security gates
Strategy Backlog,Company OS Foundation,Company OS,P0,Todo,L3 Internal Execute,Generate report drafts approvals and proof logs
Strategy Backlog,Autonomous Growth OS,Autonomous Growth,P1,Todo,L3 Internal Execute,Generate safe daily action queue and content queue
Strategy Backlog,Self Improvement Layer,Self Improvement,P1,Todo,L3 Internal Execute,Detect failures and propose improvements
Strategy Backlog,Revenue Command Pilot,Revenue Execution,P0,Todo,L2 Draft,Prepare first closeable 14-day pilot offer
Strategy Backlog,Skill System,Skill System,P1,Done,L2 Draft,Package reusable Dealix operating skill
Action Queue,Run production trust triage,Production Trust,P0,Todo,L1 Analyze,Identify current CI and production blockers
Action Queue,Verify Company OS daily runner,Company OS,P0,Todo,L3 Internal Execute,Run draft-only daily report command
Action Queue,Verify Autonomous Growth runner,Autonomous Growth,P1,Todo,L3 Internal Execute,Run draft-only growth command
Action Queue,Verify Self Improvement runner,Self Improvement,P1,Todo,L3 Internal Execute,Run daily learning command
Action Queue,Prepare Slack command brief,Connector Ops,P1,Todo,L2 Draft,Create internal Slack message not customer outbound
Action Queue,Build warm Contacts Radar,Connector Ops,P1,Todo,L1 Analyze,Use only known or opt-in contacts
Approval Queue,Approve first outbound template,Revenue Execution,P0,Waiting Approval,L5 External Blocked,Review before any send
Approval Queue,Approve Revenue Command Pilot offer,Revenue Execution,P0,Waiting Approval,L2 Draft,Confirm price and promise boundaries
Approval Queue,Approve production config mutation,Production Trust,P0,Waiting Approval,L5 External Blocked,Only after CI and explicit approval
Proof Ledger,Skill packaged,Skill System,P1,Done,L2 Draft,skill.zip created and validated
Proof Ledger,GitHub execution branch created,Production Trust,P0,Done,L4 Repo Execute,Branch feat/dealix-autonomous-company-os-execution-spine created
Action Queue,Close dealix.me public front door,Production Trust,P0,Done,L4 Repo Execute,Pages public=true + legacy pages-public publish verified 200 (proof log 2026-08-24)
Action Queue,Decide canonical frontend architecture,Frontend,P0,In Progress,L3 Internal Execute,Railway Next.js is canonical per docs; prepare DNS cutover approval packet
Action Queue,Resolve /ar route truth,Frontend,P1,In Progress,L3 Internal Execute,REQUIRED_ROUTE confirmed (next-intl defaultLocale=ar localePrefix=always); served only by Railway cutover
Action Queue,Classify production/nightly unit failures,Automation,P0,Done,L4 Repo Execute,PR1242 production PASS via timer 22:13; PR1243 nightly blocked-expected; deployed to control plane
Action Queue,Hermes caller drift audit,AI_Runtime,P1,Done,L1 Analyze,PASS: canonical path + env override + flock; no sudo/HOME drift found
Action Queue,Railway control-plane mapping,Production Trust,P1,Done,L1 Analyze,docs/ops/RAILWAY_PRODUCTION_MAP.md sanitized; linkage prepared not executed
Action Queue,Build ready-to-sell pack,Commercial,P0,Done,L2 Draft,docs/commercial/READY_TO_SELL_PACK_AR.md from canonical ladder only
Action Queue,Resolve /ar route truth,Frontend,P1,Done,L1 Analyze,REQUIRED_ROUTE (defaultLocale=ar); served by Railway cutover only; probe marks pending_railway_cutover
Action Queue,Local CI substitute V2,CI,P1,Done,L3 Internal Execute,scripts/dealix_local_stack_verify.sh is canonical LOCAL_VERIFICATION; bundle 161 passed
