rank	id	category	decision	repository	purpose
01	osv_scanner	TRUST_SECURITY	ADOPT_NOW	google/osv-scanner	Dependency vulnerability evidence via OSV; normalize findings into existing Proof/Trust owner.
02	syft	TRUST_SECURITY	ADOPT_NOW_BOUNDED	anchore/syft	Generate SBOMs for source/images; evidence only, no new truth store.
03	grype	TRUST_SECURITY	PILOT_ISOLATED	anchore/grype	Scan SBOMs/images for vulnerabilities; reconcile with OSV/Trivy.
04	trivy	TRUST_SECURITY	PILOT_ISOLATED	aquasecurity/trivy	Unified vuln/secret/misconfiguration/SBOM scan in isolated evidence lane.
05	gitleaks	TRUST_SECURITY	ADOPT_NOW_BOUNDED	gitleaks/gitleaks	Fast secret scanning for repo/worktrees before PR acceptance.
06	detect_secrets	TRUST_SECURITY	ADOPT_NOW_BOUNDED	Yelp/detect-secrets	Baseline-aware secret detection complementary to Gitleaks.
07	semgrep	TRUST_SECURITY	PILOT_ISOLATED	semgrep/semgrep	Static security/code rules for high-risk auth, secrets, injection and unsafe subprocess paths.
08	zizmor	TRUST_SECURITY	ADOPT_NOW_BOUNDED	zizmorcore/zizmor	GitHub Actions security analysis, especially dangerous triggers/permissions.
09	actionlint	TRUST_SECURITY	ADOPT_NOW_BOUNDED	rhysd/actionlint	Static GitHub Actions syntax/expression/action contract validation.
10	openssf_scorecard	TRUST_SECURITY	PILOT_ISOLATED	ossf/scorecard	Repository supply-chain posture evidence for Dealix and admitted OSS.
11	cosign	TRUST_SECURITY	DEFER	sigstore/cosign	Artifact/image signing and verification after release execution plane stabilizes.
12	cdxgen	TRUST_SECURITY	PILOT_ISOLATED	cdxgen/cdxgen	Alternative CycloneDX SBOM generation/cross-checking.
13	checkov	TRUST_SECURITY	PILOT_ISOLATED	bridgecrewio/checkov	IaC/Docker/GitHub workflow misconfiguration evidence where applicable.
14	trufflehog	TRUST_SECURITY	PILOT_ISOLATED	trufflesecurity/trufflehog	Verified credential discovery in bounded repo/history scans; never scan unrelated targets.
15	clamav	TRUST_SECURITY	PILOT_ISOLATED	Cisco-Talos/clamav	Malware scanning candidate for customer-upload/document ingestion boundary.
16	playwright	TEST_RELIABILITY	ADOPT_FOR_ACCEPTANCE	microsoft/playwright	Deterministic browser/public-surface acceptance and traces.
17	schemathesis	TEST_RELIABILITY	PILOT_ISOLATED	schemathesis/schemathesis	OpenAPI property-based/stateful API tests on local/test targets.
18	k6	TEST_RELIABILITY	PILOT_ISOLATED	grafana/k6	Performance/load smoke for bounded staging/local paths.
19	hurl	TEST_RELIABILITY	ADOPT_NOW_BOUNDED	Orange-OpenSource/hurl	Plain-text deterministic HTTP acceptance for Web/API/front door.
20	hypothesis	TEST_RELIABILITY	ADOPT_NOW_BOUNDED	HypothesisWorks/hypothesis	Property-based tests for commercial/truth/state invariants.
21	testcontainers_python	TEST_RELIABILITY	PILOT_ISOLATED	testcontainers/testcontainers-python	Real Postgres/service integration tests in isolated disposable containers.
